id	alias_empresa	nombre_empresa	correo	rfc	n_prov_imss	telefono	direccion	estado_id	municipio	cp	estado
19		HEALT GROUP INDUSTRIAS DE MEXICO, S.A. DE C.V.	licitaciones@ortiz.biz	HGI9711269IA	30047	01 33 3777 4000 	AV. Vallarta No. 6245 Ciudad Granja	14	Zapopan	45010	1
20		INSTRUMENTOS Y EQUIPOS AUTOMATIZADOS S.A. DE C.V.	info@instrumentosyaccesorios.com	IAA980126MD4	33005	6444130016	Calle: 1 No. Exterior: 314 Colonia: Deportiva Pensiin Miguel Hidalgo	9	Miguel Hidalgo	11470	1
21		LAB-TECH INSTRUMENTACIÓN S.A. DE C.V.	ventas@labtech.com.mx	LTI960220FP5	13842	3336194040	Comercio Exterior No.1080 La Aurora	14	Guadalajara	44460	1
22		MAINEQ DE MEXICO S.A. DE C.V.	ventas@maineq.com.mx	MME070126FLA	12381	15555793692	Playa Langosta No. 33 Col. Reforma Iztaccihuatl Norte	9	Iztacalco	8810	1
23		MANTENIMIENTO PREVENTIVO Y CORRECTIVO, S.A. DE C.V.	ggr@manprec.com	MPC 910220EX3	104924	53127730	Enrique Jacob No. 7 Col. San Andres Atoto Naucalpan de Juarez	15	Naucalpan de Juárez	53500	1
24		MAQUINAS DE DIBUJO S.A. DE C.V.	ventas@microscopios.net	MDI-770309-RG7	B135016610	10871087	Camino Real Sna Lorenzo No.263 Interior 2, Colonia Barrio de San Miguel 	9	Iztapalapa	9360	1
25		MARTHA ANDREA BARRERA MCDONALD	proveedoraviva@hotmail.com	BAMM880608B22	131308	442 2 94 61 23	Heriberto D. Amador No.97 Col. Doctores	28	Reynosa	88690	1
26		MED RENT S.A. DE C.V.	framirez@med-rent.com	MRE911025QI5	16388	5567286058	Santa Margarita  No.117 Insurgentes San Borja Del. Benito Juarez	9	Benito Juárez	3100	1
27		PROMOTORA COMERCIAL TORRES BATIZ S.A. DE C.V.		PCT8910262E8	18073		5A. Poniente Norte 342 Centro	7	Tuxtla Gutiérrez	29000	1
28		QUANTUM MEDICAL GROUP S.A. DE C.V.	ventas@qmg.com.mx	QMG61108N30	92552	55 5875 5754	San Pablo 24 San Pablo de las Salinas, Tultitlan	15	Tultitlán	54930	1
29		RADIOLOGIA Y ELECTRONICA DE MEXICO S.A. DE C.V. 	Ventas@remsamexico.com	REM88110176J7	28400	5555139959	Calz de Tlalpan 4892, Col. Tlalpan 	9	Tlalpan	14000	1
30		REPRESENTACIONES Y DISTRIBUCIONES DEL RELLO S.A. DE C.V. 	ventas@rdr.com.mx	RDR-870923-E77	32153	56871717	Magdalena No. 111 Col. Del Valle Del. Benito Juarez	9	Benito Juárez	3100	1
31		SERVICIO DE INTEGRACION BIOMEDICA DE MEXICO S.A. DE C.V.	licitaciones@sibimsa.com.mx	SIB060516LH1	102360	5335 1890	Tejocotes 202 Piso 1 Col. Del Valle, Benito Jurez	9	Benito Juárez	3100	1
32		SERVICIOS BIOMEDICOS BAZAFI S.A. DE C.V.	victor.ramirez@bazafi.com.mx	SBB080710QN0	12072		Calle Anaxagoras numero interior 741 exterior 303 Colonia Narvarte Poniente	9	Benito Juárez	3020	1
33		SERVICIOS DE INGENIERIA EN MEDICINA S.A. DE C.V.	jossue.lopez@gruposim.com	SIM881017I91	35849	01 222 234-9630	Calzada de Tlalpan 479 Alamos 	9	Benito Juárez	3400	1
